,FECHA_MUESTRA,TIPO,DISPOSITIVO,GENERO,GRUPO_ETARIO,N
369,19DEC2020:00:00:00,positivos,Callao | USAM,M,20-29,2
370,19DEC2020:00:00:00,positivos,Callao | USAM,M,70-79,1
371,19DEC2020:00:00:00,positivos,CEC,F,60-69,1
372,19DEC2020:00:00:00,positivos,CEC,M,30-39,1
373,19DEC2020:00:00:00,positivos,Edificio Munich,F,20-29,1
374,19DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,1
375,19DEC2020:00:00:00,positivos,Ezeiza,F,0-19,10
376,19DEC2020:00:00:00,positivos,Ezeiza,F,30-39,3
377,19DEC2020:00:00:00,positivos,Ezeiza,F,40-49,1
378,19DEC2020:00:00:00,positivos,Ezeiza,F,50-59,1
379,19DEC2020:00:00:00,positivos,Ezeiza,F,60-69,1
380,19DEC2020:00:00:00,positivos,Ezeiza,M,0-19,12
381,19DEC2020:00:00:00,positivos,Ezeiza,M,20-29,2
382,19DEC2020:00:00:00,positivos,Ezeiza,M,30-39,3
383,19DEC2020:00:00:00,positivos,Ezeiza,M,40-49,2
384,20DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,17
385,20DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,28
386,20DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,53
387,20DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,45
388,20DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,44
389,20DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,27
